churned,id,customer_code,co_name,total_spend
0,239,1975,Payne Hampton and Wu,68881.33
0,240,1207,Guerrero Mays and Blanchard,40624.61
0,241,2574,Phillips-Lee,58164.12
0,242,1938,Riddle-Malone,59526.15
1,243,2237,Eaton PLC,69800.75
0,244,1431,Green PLC,56548.11
0,245,912,Huber LLC,40025.36
1,246,1895,Rogers Smith and Davis,44687.79
0,247,2730,Montgomery Stevenson and Lee,57259.29
0,248,81,Long Ltd,56097.15
0,249,2121,Brown-Oneal,66899.37
0,250,2793,Moore David and Becker,43782.91
0,251,2381,Olson-Johnson,76785.85
0,252,718,Miller Group,63448.6
0,253,2766,Harper Group,52658.4
0,254,2755,Griffin-Clarke,65386.19
0,255,2603,Barr PLC,68856.28
0,256,2664,Freeman Baker and Wilson,59047.17
0,257,28,Floyd Ltd,52134.27
0,258,2418,Castaneda-Andrews,70747.08
0,259,2445,Juarez-Wood,52916.6
0,260,2208,Spencer LLC,78474.18
0,261,1284,Whitaker-Nelson,42298.29
0,262,2032,Gonzalez Herrera and Jimenez,66904
0,263,2496,Hamilton Burnett and Combs,76081.16
0,264,2738,Smith-King,57674.11
1,265,2202,Medina Martinez and Diaz,76528.58
0,266,749,Morris-Larsen,63725.68
0,267,2637,Bishop Ltd,78192.07
0,268,1733,Sweeney Group,47460.29
0,269,120,Jones Warren and Moore,66634.2
0,270,31,Terry Group,63735.61
0,271,2965,Munoz PLC,41695.89
0,272,2282,Barnett-Sanchez,51473.91
0,273,574,Kim-Franklin,65583.08
0,274,2248,Smith Olson and Estrada,64776.97
0,275,1322,Doyle-Guerra,55981.77
0,276,1991,Hanson-Torres,57940.62
1,277,1321,Bailey-Baker,70677.08
0,278,1867,Singh Dickson and Collier,44787.64
0,279,250,Castillo Davis and Martinez,58689.89
0,280,1249,Rivera-Mcdonald,75264.9
0,281,618,West Castro and Carpenter,56818.38
0,282,644,Lopez PLC,77660.04
1,283,478,Thompson LLC,44368.45
0,284,1877,Walker-Lopez,77841.99
0,285,2152,Brown Inc,66383.96
0,286,2123,Huff-Chang,66143.62
0,287,373,Moreno Ryan and Jacobs,56514.96
0,288,985,Taylor-Wolf,66244.19
0,289,948,Whitaker Miller and Dalton,43582.27
0,290,1855,Harris Medina and Berger,59503.02
0,291,1717,Mata Ltd,46650.51
0,292,750,Burgess-Smith,65904.35
0,293,2190,Brown Johnson and Moses,69031.52
0,294,2173,Johnson Stanley and David,69953.52
0,295,301,Gallagher-Sandoval,74586.89
0,296,2665,Johns LLC,76885.27
0,297,1929,Rocha-Williams,40367.93
0,298,2745,Flores-Conner,54118.71
0,299,2771,Powell Ltd,75378.29
0,300,486,Jones and Sons,70451.95
0,301,651,Kennedy Hayes and Lee,50896.72
0,302,2098,Torres Cowan and Cuevas,68566.43
0,303,2702,Garcia LLC,60822.04
0,304,839,Owens Baker and Sharp,50470.79
1,305,449,Ellis-Ho,47783.63
0,306,2200,Bridges-Park,60636.93
0,307,2175,Richardson-Garcia,69280.57
0,308,259,Rose Reyes and Anderson,57294.98
0,309,306,Hansen PLC,49685.74
0,310,1320,Kim Lewis and Henry,60140.58
0,311,2084,Marshall PLC,65920.79
0,312,1364,Colon PLC,40279.07
0,313,1973,Soto-Phillips,48453.24
0,314,779,Campbell-Martinez,51082.34
0,315,1634,Morris and Sons,77454.92
0,316,228,Ramirez-Moreno,54467.77
0,317,1059,Olson White and Tucker,65818.04
0,318,1851,Gallegos Lee and Smith,73931.01
0,319,853,James Inc,45145.12
0,320,2703,Kelly PLC,69982.9
0,321,2685,Pierce Schmidt and Park,75073.13
0,322,2794,Bennett-Roberts,63428.57
0,323,2299,Brown and Sons,74084.53
1,324,1423,Green-Harrison,54719.24
0,325,283,Yu and Sons,56607.3
0,326,1150,Reed-Terrell,72707.71
0,327,436,Peterson Martinez and Russell,50588.84
0,328,271,Branch Jacobs and Gutierrez,69090.59
0,329,2539,Walker-Jones,64693.24
0,330,4,Mccall Inc,49787.91
0,331,2819,Salazar Ltd,63507.83
1,332,1270,Cook-Robinson,61999.53
1,333,2587,Li Robertson and White,53810.67
0,334,203,Moore-Dunn,48974.85
0,335,1328,Coleman-Hoover,54273.95
0,336,1365,Bennett Cooper and Jones,48081.82
0,337,2300,Taylor-Blevins,45285.43
0,338,2151,Norman Inc,63184.37
0,339,1107,Kirby Ltd,78469.28
0,340,2312,Lopez-Key,74495.76
0,341,613,Clay-Richardson,43002.37
0,342,1453,Alvarado-Harris,43202.97
0,343,212,Graham Ltd,64132.23
0,344,986,Green Jackson and Grant,66574.75
0,345,957,Dominguez LLC,41415.91
0,346,2818,Wyatt-Johnson,49241.64
0,347,1668,Becker Day and Thomas,79092.16
0,348,587,Ayers-Gutierrez,46414.76
1,349,1199,Tucker Franklin and Terry,41435.73
0,350,326,Fuller Murray and Deleon,66990.27
0,351,1654,Jackson and Sons,45315.28
0,352,196,Smith Perez and Cunningham,46094.01
0,353,595,Goodman Inc,57075.27
0,354,928,Mccall LLC,73813.35
0,355,1463,Ramirez Ltd,78357.58
0,356,2617,Mitchell LLC,61576.51
1,357,2620,Schmitt Group,76798.13
0,358,1747,Garcia LLC,79671.1
0,359,2676,Miranda-Contreras,47965.29
0,360,1703,Greene-Cook,70087.49
0,361,209,Peterson-Taylor,73937.3
0,362,1250,Bruce-Brown,53945.25
0,363,1694,Mcmillan-Johnson,69304.13
1,364,1745,Shea Jones and Marshall,68179.8
0,365,727,Hill PLC,58886.76
0,366,2432,Rodriguez Smith and Barry,75144.06
1,367,686,Sullivan Group,41592.57
0,368,2156,Parrish Rivera and Pope,61580.79
1,369,1163,Le-Navarro,52209.34
0,370,2184,Hines Group,77596.69
0,371,109,Cooper Group,63472.73
0,372,150,Holden LLC,63720.62
0,373,370,Jones Alvarez and Lawson,75039.34
1,374,1078,Williams Williams and Holmes,60436.16
0,375,2943,Williams-Davis,79057.38
0,376,2880,Walker-Baxter,45175.7
0,377,2672,Evans Brown and Mccoy,72646.19
0,378,2352,Morris and Sons,75966.03
0,379,2976,Cobb Gordon and Oliver,76895.73
0,380,2365,Ware Nichols and Francis,44079.31
0,381,562,Smith Williams and Norris,43870.98
0,382,2105,Gillespie Stout and Hull,74739.47
0,383,1308,Wu Pace and Perez,57435.18
0,384,1239,Perez and Sons,69963.14
0,385,1393,Miller-Swanson,73439.52
0,386,790,Guerrero-Andrews,65431.88
0,387,830,Cruz LLC,47975.39
0,388,1511,Harris Ltd,57317.75
0,389,2838,Klein Byrd and Smith,68077.7
0,390,2225,Walton Harrington and Martin,40490.62
0,391,2979,Schwartz Dominguez and Howard,54962.73
0,392,2433,White LLC,65276.82
0,393,2134,Pitts-Jackson,46686.11
0,394,1814,Madden and Sons,71879.91
0,395,2626,Cox Garcia and Trujillo,77871.93
0,396,239,House Hill and Brooks,70379.52
0,397,2434,Villa-Cherry,44510.55
0,398,1176,Branch Nelson and Strickland,49453.8
0,399,1110,Powell-Yu,64417.95
0,400,725,Franco-Martinez,49793.13
0,401,1535,Ward Colon and Burnett,53868.03
0,402,2412,Little Group,53082.5
0,403,849,King-Welch,62798.51
0,404,733,Edwards-Green,40695.58
0,405,744,Elliott Johnson and Mason,76739.35
0,406,1608,Garcia Padilla and Fowler,41785.36
0,407,2232,Lee-Perry,75625.33
0,408,1610,Wilson-Cruz,59334.69
0,409,1132,Hensley Inc,72189.42
1,410,1261,Mason and Sons,79804.39
0,411,2824,Krueger-Mitchell,51342.73
0,412,2890,Weaver-Woodard,71106.96
0,413,206,Blackburn PLC,56163.27
0,414,2899,Kennedy-Morton,66592.55
0,415,791,Boone-Reyes,74277.71
0,416,553,Wu-Braun,75111.72
0,417,2279,Brock Williams and Hernandez,56419.8
0,418,989,Holt Ford and Donovan,41735.99
1,419,2643,Pham Inc,64676.32
0,420,1226,Mills Peters and James,78962.13
0,421,2970,Foster PLC,67095.7
0,422,2855,Reed and Sons,79877.74
0,423,105,Griffin-Miller,60427.66
0,424,1394,Moore-Lambert,61956.48
0,425,2752,Garrett Ltd,76247.18
0,426,1780,Haney Alexander and Waller,47691.87
0,427,2854,Knox Brown and Alvarez,49591.15
0,428,1748,Cochran Harrington and Miller,52381.27
0,429,2376,Parker Stanton and Cox,68621.85
0,430,2868,Petersen-Rodriguez,79968.76
0,431,2010,Aguilar-Chen,76646.49
0,432,2645,Stevenson-Jackson,60201.79
0,433,2169,Sandoval-Mccoy,79608.68
0,434,722,Holloway-Patrick,50858.09
1,435,788,Maldonado-Williamson,66952.74
1,436,820,Bass and Sons,76673.17
0,437,2050,Michael and Sons,57577.33
1,438,115,Braun-Clark,78880.3
0,439,1592,Navarro-Doyle,58313.43
0,440,263,Powers Inc,76689.87
0,441,2149,Williams Walker and Baker,78341.12
0,442,2240,Clark-Ramirez,79577.49
1,443,1332,White-Johnson,76537.07
0,444,1932,Brown Franco and Kirby,49785.55
0,445,980,Peterson-George,62996.03
0,446,619,Porter Harrison and Williams,49310.05
0,447,2187,Gonzales-Williams,63159.9
0,448,2920,Keller Santiago and Cowan,59752.64
0,449,561,Chen Group,70197.29
0,450,2046,Morrow-Lewis,44451.91
0,451,16,Williams-Henry,59048.77
0,452,2374,Frazier Group,42007.82
0,453,2716,Williams Williams and Richardson,42769.38
0,454,2625,Salazar Richmond and Gonzales,49212.95
0,455,2006,Wheeler LLC,72454.04
0,456,1591,Perkins-Baird,69749.05
0,457,2095,Martinez Molina and Howard,43155.1
0,458,337,Lopez Group,48393.06
0,459,1528,Woods Wilson and Berry,78665.36
0,460,66,Graves Griffin and Pearson,67964.18
0,461,371,Owen-Fowler,44850.4
0,462,1074,Carter-Bolton,52997.67
0,463,982,Mcgee Inc,60759.65
0,464,743,Jackson-Sanchez,59761.47
0,465,2224,Knight and Sons,54399.96
0,466,610,Johnson-Brown,58387.23
0,467,406,Bailey Mayer and Solomon,63274.65
0,468,2990,Fowler-Lopez,46575.02
0,469,664,Grant-Mccoy,41047.09
0,470,1412,Miller Ltd,76221.41
0,471,73,Cowan-Chang,61204.43
1,472,2591,Hamilton and Sons,41739.56
0,473,870,Schroeder Ltd,69027.48
0,474,1244,Cortez Rich and Pitts,63046.34
0,475,2045,Francis LLC,59558.7
0,476,2714,Chung-Benjamin,63743.52
0,477,1860,Henderson PLC,57418
0,478,2140,Edwards Hernandez and Wilkerson,75787.72
0,479,2213,Torres-Sharp,48909.26
0,480,861,Page Fernandez and Marshall,65134.68
0,481,2203,Martin Brady and Henderson,70145.63
0,482,867,Bailey Johnson and Burke,79503.07
0,483,2843,Clark Jensen and Branch,46901.06
0,484,554,Edwards Morrison and Lopez,68459.66
0,485,2477,Martinez-Huynh,55841.1
0,486,1615,Bailey-Smith,56250.28
0,487,459,Melton Group,41992.22
0,488,2837,Miller-Gonzalez,56873.45
0,489,266,Richardson-Martin,47784.27
1,490,1460,Lambert-Freeman,69295.47
0,491,2867,Wilson Ltd,41542.44
0,492,1418,Wilson-Grant,47249.31
0,493,2302,Hahn-Johnston,78918.9
0,494,1144,Smith-Cole,78061.83
0,495,2917,Ray-Lewis,73007.02
1,496,1834,Sanchez Parks and Johnson,63878.06
0,497,509,Brown-Lawrence,51372.35
0,498,2342,Thompson Fletcher and Nichols,59469.3
0,499,348,Bridges Group,41889.84
0,500,256,Gonzalez Group,12847.18
0,501,1947,Moore-Morris,5972.86
0,502,2898,Bush Hopkins and Martin,16304.88
0,503,97,Andrews Inc,54886.55
0,504,2274,Calderon Wells and Meyer,20547.62
0,505,2470,Carroll LLC,43016.33
0,506,1570,Jackson Wilson and Clark,24019.08
0,507,2581,Haynes Solis and Roach,49871.47
0,508,584,Black-Johnson,76533.78
0,509,1643,Thompson-Powell,7449.77
0,510,1088,Black Green and Hill,20919.62
0,511,1849,Drake-Reed,69718.6
0,512,315,Ball and Sons,3200.74
0,513,40,Greer Evans and Higgins,16889.75
0,514,1664,Barron Jones and Johnson,5173.71
0,515,331,Kramer Inc,23495.61
0,516,2985,Fernandez Inc,23958.72
0,517,961,Boyer Miller and Harris,11560.56
0,518,2480,Nguyen Group,31991.2
0,519,1117,Garrison LLC,21089.79
0,520,2945,Gates Martin and Smith,12022.18
0,521,585,Gill Inc,11226.03
0,522,1550,Moore Bennett and Gonzalez,54959.71
1,523,1036,Owens-Turner,8635.44
0,524,906,Chaney Allison and Delgado,44524.16
0,525,594,Campbell-Thompson,13704.33
0,526,2316,Rodriguez Payne and Gross,51578.01
1,527,831,Webb-Black,63244.67
0,528,1211,Cooper-Pineda,14021.76
0,529,253,Rivera-Brown,39507.7
1,530,2832,West Figueroa and Owen,58826.93
0,531,1672,Jones-Campbell,1387.59
0,532,2744,Durham Weber and Gibbs,52273.89
1,533,824,Wilson PLC,32407.06
0,534,1395,Avila and Sons,4746.98
0,535,2088,Brown Weiss and Rollins,11598.38
0,536,2958,Vega Cooper and Diaz,15916.24
0,537,570,Figueroa Allen and Little,16036.95
0,538,173,Shea-Snyder,11504.76
0,539,93,Mendoza-Bryant,53909.95
0,540,433,Murray-Ramirez,13430.11
0,541,2163,Cook Ltd,64296.92
0,542,905,Gomez PLC,58304.59
1,543,1274,Zamora Sullivan and Case,38664.03
0,544,2384,Boyer-Allen,25245.77
1,545,917,Marsh Byrd and Jones,61352.6
0,546,966,Mccoy-Brady,69765.99
0,547,2405,Dyer PLC,19277.41
0,548,829,Kaufman May and Donovan,68496.31
0,549,2044,Martinez-Potts,11825.12
0,550,897,Love Inc,49902.49
0,551,998,Owens Guzman and Rivera,5130.09
0,552,95,Kelly-Howard,29449.21
0,553,2439,Baker LLC,2316.83
0,554,2893,Hall and Sons,13139.73
0,555,2157,Thomas Salazar and Morris,44441.53
0,556,2586,Vaughn Jones and Henderson,54398.41
0,557,1739,Johnson Duke and Mayo,56805.57
0,558,2162,Carney-Griffin,50846.22
0,559,322,Mccarthy-Nichols,6200.38
0,560,2109,Robertson Mccall and Cox,71939.07
1,561,2425,Williams and Sons,23276.14
0,562,1556,Jacobson-Barnes,69997.81
0,563,2797,Williamson PLC,35372.46
0,564,2338,Jones PLC,70936.4
0,565,1198,Marshall PLC,32631.68
0,566,1360,Braun Wood and Boyer,52303.57
0,567,1037,Ochoa Miller and Phillips,74739.43
0,568,309,Davis-Jones,3947.5
0,569,2368,Davis Group,70295.39
0,570,302,Skinner Lin and Cline,6409.55
0,571,2251,Allen-Gould,3514.78
0,572,154,Davila-Frank,15461.08
0,573,697,Henderson Group,10488.21
0,574,731,Stanley-Duncan,14363.46
0,575,488,Ryan-Pham,45816.2
0,576,2879,Benton-Monroe,46263.98
0,577,2371,Brown Ramirez and Gentry,13038.2
0,578,687,Cherry-Harris,78141.84
0,579,1977,Gates LLC,25512.07
0,580,2441,Dennis and Sons,1639.37
0,581,305,Ortiz PLC,46716.8
0,582,1968,Silva Ltd,19898.09
1,583,542,White Inc,30848.47
0,584,1415,Cohen Parker and Flowers,36126.93
0,585,2921,Arias Brown and Sparks,24983.32
0,586,1006,Martin-Aguilar,57552.11
0,587,765,Thomas PLC,50417.31
0,588,2355,Daniels-Anderson,49613.96
0,589,2656,Rodriguez-Carney,12919.04
0,590,647,Garcia Kelley and Tucker,4501.53
0,591,2768,Jefferson Ltd,46334.52
0,592,1598,Evans and Sons,70785.73
0,593,366,Hodge Inc,21162.24
0,594,2754,Garcia and Sons,71158.81
0,595,222,Duncan-Maldonado,55931.22
0,596,1604,Tapia and Sons,38576.86
0,597,2317,Acosta-Long,4787.08
0,598,1345,Parker-Owens,73850.69
0,599,621,Farmer-Wilson,29265.68
0,600,0,Roy Inc,76111.67
0,601,949,Andrews LLC,63641.75
0,602,336,Suarez PLC,66485.51
0,603,128,Burnett Ltd,36489.14
0,604,264,Alvarez Inc,51075.8
0,605,2649,Rodriguez-Rose,68722.84
0,606,753,Galloway Inc,28556.04
0,607,1228,Greer Haynes and Caldwell,39498.33
0,608,466,Schmidt Perry and Macias,63154.44
1,609,2579,Lee Inc,31910.53
1,610,2839,Taylor Flores and Sanchez,51987.38
0,611,816,Tran Group,67747.49
0,612,2487,Williams Group,32691.08
0,613,1637,Warren Dixon and Long,23564.56
0,614,1756,Watson-Scott,74272.42
1,615,2159,Taylor Barrera and Small,78268.95
0,616,277,Welch Henson and Carey,33399.14
0,617,74,Morrison-Robinson,42681.96
0,618,2566,Montgomery-Fritz,61342.38
0,619,1386,Roman Hernandez and Hanna,43296.8
0,620,1430,Hodges-Mcfarland,24948.7
0,621,2897,Warren-Jarvis,9863.5
0,622,984,Mullins-Weber,57798.31
0,623,2254,Snyder PLC,42682.7
0,624,2025,Thomas-Friedman,77882.37
0,625,2053,Lewis Richards and Collins,39657.68
0,626,1580,Cox and Sons,1157.75
0,627,1305,Morris-Carter,31775.67
0,628,1438,Campos Ltd,51219.78
0,629,325,Patel-Hanson,62883.4
0,630,648,Brown-Wilcox,68926.98
0,631,1563,Carney Burton and Gardner,32881.45
0,632,2525,Elliott-Morales,73441.69
0,633,258,Wagner LLC,62323.09
0,634,1606,Baker-Weaver,39527.41
0,635,2008,Newton-Garcia,62712.69
0,636,219,Marshall Ewing and Good,23871.51
0,637,1461,Carpenter Alvarez and Hayden,47571.28
0,638,55,Jackson-Carney,14426.18
0,639,792,Casey-Schneider,3195.52
0,640,341,Hayes and Sons,53572.69
0,641,422,Williams Mitchell and Wilson,15960.22
0,642,682,Hill Mack and Davis,34803.58
